n,p1,p2,pr_factor,run_pr,peak
331531424126988047,10916449,30369896303,10916449,0.035058477999996285,268
1110644942728816217,10916449,101740496633,10916449,0.02745305599999881,268
3857586276999174893,10916449,353373727757,10916449,0.028789012000004277,292
38552281688585936111,10916449,3531577135439,10916449,0.02924768500000141,292
99292365199771920713,10916449,9095665192937,10916449,0.0235975260000032,292
305497183307726784989,10916449,27985032798461,10916449,0.014682258000007664,292
892357515738039684029,10916449,81744303091421,10916449,0.018291577000013604,292
3496058001678853669549,10916449,320255973501901,10916449,0.024216376999987688,292
10625739672565771721171,10916449,973369606963379,10916449,0.035071166999983916,292
25733927879276999174893,10916449,2357353373727757,10916449,0.005238806000022578,292
55795183777777863896431,10916449,5111111111111119,10916449,0.026214207999998962,300
405267798724046544673213,10916449,37124508045065437,10916449,0.0031364350000160357,300
815976995959595954413403,10916449,74747474747474747,10916449,0.014633844999991652,300
6755312817777418868068451,10916449,618819619619660099,10916449,0.02361764899998775,300
4851757539196335433538651,10916449,444444666868899899,10916449,0.028630741000000626,300
145047652333,14494619,10007,10007,0.0003811729999938507,204
1449331448429,14494619,99991,99991,0.0038247150000074726,260
5802297448033,14494619,400307,400307,0.002803284999998823,260
5802645318889,14494619,400331,400331,0.001079316999977209,260
14494662483857,14494619,1000003,1000003,0.005127090999991424,260
158229769087931,14494619,10916449,14494619,0.006320665000004055,268
210093979955161,14494619,14494619,14494619,0.003956389999984822,268
1449462001462333,14494619,100000007,14494619,0.021421791999983952,268
13768293482469191,14494619,949889989,14494619,0.005851672999995117,268
85744183741362463,14494619,5915587277,14494619,0.012106912000007242,268
48816431866915747,14494619,3367900313,14494619,0.026507057999992867,268
1065851997235721327,14494619,73534323133,14494619,0.0019111830000042573,268
440200075981493557,14494619,30369896303,14494619,0.005304529000000002,268
1474689735566117827,14494619,101740496633,14494619,0.007932516999971995,292
5122017548447439583,14494619,353373727757,14494619,0.014488454000002093,292
51188865047299702741,14494619,3531577135439,14494619,0.025756651999984115,292
131838201523183306003,14494619,9095665192937,14494619,0.014698487999964982,292
405632388116195981359,14494619,27985032798461,14494619,0.014092310000023645,292
1184852528730669563599,14494619,81744303091421,14494619,0.0147528400000283,292
4641988318384150770719,14494619,320255973501901,14494619,0.007703229000014744,292
14108621599113925557601,14494619,973369606963379,14494619,0.01434216800004151,292
34168939000548447439583,14494619,2357353373727757,14494619,0.007787153000037961,292
74083608222222336568661,14494619,5111111111111119,14494619,0.014498541000023124,300
538105599675658339383503,14494619,37124508045065437,14494619,0.007252956999991511,300
1083436167676767669886393,14494619,74747474747474747,14494619,0.0040111069999966276,300
8969554616111898044507281,14494619,618819619619660099,14494619,0.002315425000006144,300
6442056112846626985143481,14494619,444444666868899899,14494619,0.014355730999966454,300
1000700070049,100000007,10007,10007,0.0006335789999525332,260
9999100699937,100000007,99991,99991,0.005707561999997779,260
40030702802149,100000007,400307,400307,0.00162235900000951,268
40033102802317,100000007,400331,400331,0.001577422000025308,268
100000307000021,100000007,1000003,1000003,0.003216194000003725,268
1091644976415143,100000007,10916449,10916449,0.02697711899998012,268
1449462001462333,100000007,14494619,14494619,0.02078529699997489,268
10000001400000049,100000007,100000007,100000007,0.05518864300000814,268
94989005549229923,100000007,949889989,100000007,0.01977624400001332,268
591558769109110939,100000007,5915587277,100000007,0.023258660999999847,268
336790054875302191,100000007,3367900313,100000007,0.031909240999993926,268
7353432828040261931,100000007,73534323133,100000007,0.009258245999944847,292
3036989842889274121,100000007,30369896303,100000007,0.03853613600006156,292
10174050375483476431,100000007,101740496633,100000007,0.06488387299998521,292
35337375249316094299,100000007,353373727757,100000007,0.06609958900003221,292
353157738264939948073,100000007,3531577135439,100000007,0.05961559699994723,292
909566582963356350559,100000007,9095665192937,100000007,0.030070532000081585,292
2798503475741329589227,100000007,27985032798461,100000007,0.09177188099988598,292
8174430881352221639947,100000007,81744303091421,100000007,0.023560956999972404,292
32025599591981914513307,100000007,320255973501901,100000007,0.03766680500007169,292
97336967509925148743653,100000007,973369606963379,100000007,0.026655503000029057,300
235735353874249316094299,100000007,2357353373727757,100000007,0.08567231899996841,300
511111146888889677777833,100000007,5111111111111119,100000007,0.060775476999879174,300
3712451064378100015458059,100000007,37124508045065437,100000007,0.07595152900012181,300
7474747997979797932323229,100000007,74747474747474747,100000007,0.02648070000009284,300
61881966293703347237620693,100000007,618819619619660099,100000007,0.039181435000045894,300
44444469798002657982299293,100000007,444444666868899899,100000007,0.0832947950000289,300
9505549119923,949889989,10007,10007,0.0006689030001325591,260
94980449890099,949889989,99991,99991,0.0037411490000067715,268
380247611826623,949889989,400307,400307,0.0023280220000287954,268
380270409186359,949889989,400331,400331,0.0010396499999387743,268
